match_id,winner,year,surface,p1_age,p2_age,p1_rank_points,p2_rank_points,p1_first_won,p1_secnd_won,p2_first_won,p2_secnd_won,p1_win_err,p2_win_err,P1_win,P2_win
2024-usopen-1232,,13,0,0.5839999999999983,0.7439999999999978,0.029500000000000002,0.41444444444444445,0.5161290322580645,0.6363636363636364,0.9090909090909091,0.5897435897435898,0.75,0.6923076923076923,0.06772643,0.93227357
2024-usopen-1302,,13,0,0.4579999999999981,0.5439999999999975,0.022944444444444444,0.16583333333333333,0.5126050420168067,0.48148148148148145,0.7307692307692307,0.5964912280701754,0.4155844155844156,0.8,0.039675925,0.96032405
2024-usopen-1303,,13,0,0.55,0.3779999999999983,0.07361111111111111,0.045111111111111116,0.6171875,0.7333333333333333,0.6451612903225806,0.5310344827586206,0.8909090909090909,0.8947368421052632,0.92025536,0.07974464
2024-usopen-1304,,13,0,0.4460000000000015,0.5700000000000001,0.07877777777777778,0.34861111111111115,0.4878048780487805,0.5,0.7857142857142857,0.6197183098591549,0.5142857142857142,1.0,0.012698993,0.987301
2024-usopen-1306,,13,0,0.6739999999999983,0.4760000000000009,0.04027777777777778,0.068,0.5166666666666667,0.4166666666666667,0.9166666666666666,0.6730769230769231,0.7272727272727273,1.391304347826087,0.0022692233,0.9977308
2024-usopen-1308,,13,0,0.47000000000000003,0.6060000000000022,0.08166666666666667,0.07644444444444445,0.5555555555555556,0.7,0.8947368421052632,0.7222222222222222,0.6530612244897959,2.0555555555555554,0.0024272997,0.9975727
2024-usopen-1309,,13,0,0.5120000000000028,0.39,0.21416666666666667,0.04188888888888889,0.5905511811023622,0.7916666666666666,0.625,0.5426356589147286,1.0425531914893618,1.1470588235294117,0.9603705,0.03962952
2024-usopen-1310,,13,0,0.4760000000000014,0.5360000000000017,0.029555555555555557,0.17333333333333334,0.5405405405405406,0.6923076923076923,1.0,0.6666666666666666,0.8333333333333334,1.5,0.008792326,0.99120766
2024-usopen-1311,,13,0,0.46,0.44799999999999907,0.06138888888888889,0.1252777777777778,0.6372549019607843,0.8636363636363636,0.7272727272727273,0.5959595959595959,1.6333333333333333,1.162162162162162,0.9852319,0.014768124
2024-usopen-1312,,13,0,0.5020000000000019,0.5460000000000024,0.07416666666666667,0.39083333333333337,0.5486725663716814,0.6,0.8,0.6,0.7368421052631579,0.9310344827586207,0.084817246,0.91518277
2024-usopen-1313,,13,0,0.536000000000002,0.4539999999999983,0.2669444444444445,0.06972222222222223,0.6666666666666666,0.875,0.6666666666666666,0.5483870967741935,1.0833333333333333,1.3846153846153846,0.9604165,0.039583504
